Row -> Col,a,ä,b,c,d,e,ë,f,g,h,i,j,k,l,m,n,o,ö,p,q,r,s,ß,t,u,v,w,x,y,z,""" """,RowSum
a,2.25E-02,0.00E+00,5.06E-02,6.74E-02,1.40E-02,0.00E+00,0.00E+00,2.25E-02,4.21E-02,5.62E-02,0.00E+00,0.00E+00,0.00E+00,8.99E-02,3.37E-02,1.57E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.43E-02,8.71E-02,4.49E-02,6.18E-02,1.21E-01,2.81E-03,0.00E+00,0.00E+00,0.00E+00,2.81E-03,3.93E-02,1.00E+00
ä,0.00E+00,0.00E+00,0.00E+00,4.00E-02,2.00E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.20E-01,0.00E+00,0.00E+00,0.00E+00,4.00E-02,8.00E-02,2.00E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.20E-01,0.00E+00,0.00E+00,1.60E-01,4.00E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00
b,2.63E-02,1.32E-02,0.00E+00,1.32E-02,0.00E+00,5.39E-01,0.00E+00,0.00E+00,0.00E+00,1.32E-02,1.32E-02,0.00E+00,0.00E+00,1.18E-01,0.00E+00,0.00E+00,0.00E+00,1.32E-02,0.00E+00,0.00E+00,1.18E-01,2.63E-02,0.00E+00,1.32E-02,0.00E+00,0.00E+00,1.32E-02,0.00E+00,0.00E+00,0.00E+00,6.58E-02,9.86E-01
c,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.01E-01,0.00E+00,0.00E+00,9.95E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00
d,1.59E-01,0.00E+00,0.00E+00,1.01E-02,0.00E+00,3.32E-01,0.00E+00,0.00E+00,0.00E+00,5.04E-03,1.46E-01,0.00E+00,0.00E+00,1.26E-02,0.00E+00,0.00E+00,3.27E-02,0.00E+00,0.00E+00,0.00E+00,1.51E-02,0.00E+00,0.00E+00,2.52E-03,1.51E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.70E-01,1.00E+00
e,0.00E+00,0.00E+00,1.23E-02,1.23E-02,1.12E-02,0.00E+00,0.00E+00,1.45E-02,1.12E-02,2.01E-02,9.38E-02,0.00E+00,4.46E-03,3.46E-02,3.68E-02,2.47E-01,0.00E+00,0.00E+00,1.12E-03,0.00E+00,1.90E-01,4.80E-02,4.46E-03,1.00E-02,6.70E-03,0.00E+00,2.23E-03,0.00E+00,0.00E+00,0.00E+00,2.40E-01,1.00E+00
ë,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
f,3.92E-02,9.80E-03,0.00E+00,1.96E-02,0.00E+00,2.45E-01,0.00E+00,9.80E-03,0.00E+00,9.80E-03,3.92E-02,0.00E+00,0.00E+00,9.80E-02,0.00E+00,9.80E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.80E-02,3.92E-02,0.00E+00,2.94E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.96E-02,2.55E-01,9.21E-01
g,9.15E-02,0.00E+00,0.00E+00,0.00E+00,2.44E-02,3.90E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.54E-02,0.00E+00,0.00E+00,2.44E-02,0.00E+00,6.10E-03,6.10E-03,0.00E+00,0.00E+00,0.00E+00,3.66E-02,6.71E-02,0.00E+00,6.10E-02,1.22E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.95E-01,1.00E+00
h,5.08E-02,2.22E-02,0.00E+00,0.00E+00,0.00E+00,2.22E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.86E-02,0.00E+00,0.00E+00,8.57E-02,1.27E-02,6.98E-02,3.81E-02,4.13E-02,0.00E+00,0.00E+00,8.57E-02,1.27E-02,0.00E+00,9.21E-02,2.54E-02,0.00E+00,3.17E-03,0.00E+00,0.00E+00,3.17E-03,2.06E-01,9.99E-01
i,0.00E+00,0.00E+00,2.48E-03,1.19E-01,0.00E+00,2.88E-01,0.00E+00,0.00E+00,9.18E-02,4.96E-02,0.00E+00,0.00E+00,0.00E+00,1.74E-02,2.98E-02,3.00E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.44E-03,1.49E-02,0.00E+00,7.20E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.96E-03,2.48E-03,1.00E+00
j,4.76E-01,9.52E-02,0.00E+00,0.00E+00,0.00E+00,1.90E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.43E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.04E-01
k,9.09E-02,0.00E+00,1.14E-02,0.00E+00,0.00E+00,1.59E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.68E-02,0.00E+00,0.00E+00,3.41E-02,0.00E+00,0.00E+00,1.36E-01,3.30E-01,0.00E+00,0.00E+00,3.41E-02,0.00E+00,0.00E+00,6.82E-02,2.27E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.27E-02,9.66E-01
l,1.08E-01,4.72E-03,9.43E-03,1.89E-02,1.89E-02,8.49E-02,0.00E+00,1.42E-02,0.00E+00,0.00E+00,1.60E-01,0.00E+00,0.00E+00,1.56E-01,0.00E+00,1.42E-02,6.60E-02,4.72E-03,0.00E+00,0.00E+00,0.00E+00,4.72E-02,0.00E+00,1.46E-01,2.36E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.04E-01,9.81E-01
m,7.20E-02,3.20E-02,0.00E+00,0.00E+00,8.00E-03,1.20E-01,0.00E+00,0.00E+00,8.00E-03,8.00E-03,1.44E-01,0.00E+00,0.00E+00,0.00E+00,8.00E-02,0.00E+00,8.00E-03,8.00E-03,8.00E-03,0.00E+00,0.00E+00,1.60E-02,0.00E+00,8.00E-03,1.60E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E-03,4.48E-01,9.92E-01
